# k, pk0, pk2, pk4
2.249999999999999917e-02 4.147156985828062898e+04 1.253843091088315123e+04 1.105235248480007613e+03
2.750000000000000361e-02 3.880734700778023398e+04 1.786493840358595844e+04 9.994215879981834405e+02
3.250000000000000111e-02 3.730784719479040359e+04 1.641069456167122189e+04 8.747269777999666758e+02
3.750000000000000555e-02 3.237574583500687368e+04 1.146369384815761805e+04 7.543886703128052886e+02
4.250000000000000999e-02 2.686799973126781333e+04 1.524305701413031420e+04 6.510072810385599951e+02
4.750000000000000056e-02 2.477036325035068876e+04 7.994402175184628504e+03 5.679682196930898499e+02
5.250000000000000500e-02 2.174892126627727703e+04 9.678270964870655007e+03 5.050345376133673199e+02
5.750000000000000944e-02 2.083035900218967072e+04 8.927240521471065222e+03 4.573433422902695042e+02
6.250000000000001388e-02 1.931907352592898678e+04 7.646461460002514286e+03 4.184506939491124058e+02
6.750000000000000444e-02 1.905147585613169576e+04 7.195202092466029171e+03 3.844287021115288212e+02
7.250000000000000888e-02 1.678108843630523916e+04 7.461167879186278697e+03 3.516084549500346839e+02
7.750000000000001332e-02 1.559760436648386167e+04 6.193920523547060839e+03 3.169209444473297026e+02
8.250000000000001776e-02 1.374756429374840263e+04 4.412427248502292059e+03 2.799092642843398266e+02
8.750000000000002220e-02 1.290508232593494176e+04 4.381821480886326754e+03 2.422587661800389469e+02
9.250000000000001277e-02 1.144230237634091463e+04 4.049262706972936030e+03 2.063223817432947840e+02
9.750000000000001721e-02 1.037649926508531280e+04 3.552045425246401919e+03 1.737313610594220563e+02
1.025000000000000216e-01 9.720814833132193598e+03 3.312755847230755535e+03 1.455400819820355309e+02
1.075000000000000261e-01 9.027858401535988378e+03 3.007676145730712960e+03 1.224269330021425759e+02
1.125000000000000167e-01 8.291677222696504032e+03 2.724252875082499486e+03 1.044331355565849861e+02
1.175000000000000211e-01 7.995620533934377818e+03 3.019972670766233023e+03 9.083108826623050902e+01
1.225000000000000255e-01 7.682228606713411864e+03 2.696317045543853055e+03 8.040861110618482144e+01
1.275000000000000022e-01 7.428135254649653689e+03 2.435348697683852151e+03 7.185906147410156564e+01
1.325000000000000067e-01 6.885444217140890032e+03 2.065556683936906211e+03 6.406810334234373272e+01
1.375000000000000111e-01 6.387651679193491873e+03 2.149469741686618818e+03 5.626598620172609344e+01
1.425000000000000155e-01 6.089629735682051432e+03 1.922589820160880663e+03 4.811755960856256564e+01
1.475000000000000200e-01 5.612232911231152684e+03 1.969160132083487497e+03 3.966987894845920692e+01
1.525000000000000244e-01 5.211958622934286723e+03 1.564596881058322879e+03 3.115728037063030342e+01
1.575000000000000289e-01 4.807807568227092816e+03 1.601418003166947074e+03 2.290504701916163555e+01
1.625000000000000056e-01 4.522149158464455468e+03 1.370787649821140803e+03 1.536675966283923600e+01
1.675000000000000100e-01 4.351830983954488147e+03 1.084172110606199567e+03 9.011097333105887230e+00
1.725000000000000144e-01 4.110580931284135659e+03 1.098202537193929629e+03 4.084716821561013234e+00
1.775000000000000189e-01 3.847777040133660194e+03 1.058851718252777800e+03 5.183940736374061942e-01
1.825000000000000233e-01 3.770494024748114953e+03 8.704665335216806170e+02 -1.926531728037971902e+00
1.875000000000000278e-01 3.584492229681302888e+03 7.879729579677277798e+02 -3.497252651123062606e+00
1.925000000000000322e-01 3.437250565782579997e+03 8.110281496662140626e+02 -4.418970048137502715e+00
1.975000000000000366e-01 3.271918669005040101e+03 5.224187834503754857e+02 -4.950557261390606811e+00
2.025000000000000133e-01 3.110835379431711772e+03 6.703428358119856512e+02 -5.381303255238329086e+00
2.075000000000000178e-01 2.940983244011902570e+03 5.569094552886880365e+02 -5.892779256428607226e+00
2.125000000000000222e-01 2.793400980870897001e+03 5.402098826902870314e+02 -6.489564713101273696e+00
2.175000000000000266e-01 2.636207509381105865e+03 4.883165258809684701e+02 -7.081880425691210235e+00
2.225000000000000311e-01 2.501260180614058299e+03 4.062219849566016592e+02 -7.569409073487125994e+00
2.275000000000000355e-01 2.358795622411037129e+03 4.078910207297237207e+02 -7.853258769730091515e+00
2.325000000000000400e-01 2.246113991043263468e+03 3.538289841936174867e+02 -7.841082153035543456e+00
2.375000000000000444e-01 2.170776498475270728e+03 2.281938781756000196e+02 -7.477185588518024062e+00
2.425000000000000211e-01 2.072390611431629168e+03 2.304607673004657897e+02 -6.758153245805345932e+00
2.475000000000000533e-01 1.985686299925152753e+03 2.064404815096231971e+02 -5.720583940895284769e+00
